"","DEPRS","LIFEQ","MANIC","PANIC","PSYCS","SA","SCONF","SEXFN","SLEEP","SUICD","VIOLN","WORKF"
"DEPRS",1,0.613080416998114,0.302919490256994,0.620329045172504,0.551315303425931,0.179266541045054,0.478282614362269,0.388964059908675,0.36969255529305,0.569037161967896,0.236127453735034,0.508598652374005
"LIFEQ",0.613080416998114,1,0.117908709237856,0.409185779810101,0.359025949580133,0.220953446225133,0.351138450537051,0.359049619025933,0.22414004985851,0.400173635797123,0.248582522282529,0.324900041530201
"MANIC",0.302919490256994,0.117908709237856,1,0.256667406267422,0.407809920745767,0.109179935802562,0.268540931051195,0.148426521948041,0.162861957582248,0.212647213605181,0.207121710506984,0.234577705195261
"PANIC",0.620329045172504,0.409185779810101,0.256667406267422,1,0.512605533175131,0.148349144339609,0.411102078578484,0.306052736344981,0.433810506763337,0.378215553282576,0.233213774293232,0.370934973311293
"PSYCS",0.551315303425931,0.359025949580133,0.407809920745767,0.512605533175131,1,0.11244645943505,0.516617544198812,0.293118806419994,0.471617075229805,0.513198543116381,0.359863238940633,0.345137784683457
"SA",0.179266541045054,0.220953446225133,0.109179935802562,0.148349144339609,0.11244645943505,1,0.0788087425542088,0.166105024330094,0.11043203483385,0.234312098159473,0.126041304197398,0.277634662779236
"SCONF",0.478282614362269,0.351138450537051,0.268540931051195,0.411102078578484,0.516617544198812,0.0788087425542088,1,0.322904501903552,0.393143796305344,0.368875541818386,0.278542180875149,0.338396108547834
"SEXFN",0.388964059908675,0.359049619025933,0.148426521948041,0.306052736344981,0.293118806419994,0.166105024330094,0.322904501903552,1,0.255467025067464,0.270140591171283,0.205105272776815,0.190695575943995
"SLEEP",0.36969255529305,0.22414004985851,0.162861957582248,0.433810506763337,0.471617075229805,0.11043203483385,0.393143796305344,0.255467025067464,1,0.260978549605866,0.146105545399966,0.145892017731693
"SUICD",0.569037161967896,0.400173635797123,0.212647213605181,0.378215553282576,0.513198543116381,0.234312098159473,0.368875541818386,0.270140591171283,0.260978549605866,1,0.383866949230532,0.322210467980596
"VIOLN",0.236127453735034,0.248582522282529,0.207121710506984,0.233213774293232,0.359863238940633,0.126041304197398,0.278542180875149,0.205105272776815,0.146105545399966,0.383866949230532,1,0.122611789348382
"WORKF",0.508598652374005,0.324900041530201,0.234577705195261,0.370934973311293,0.345137784683457,0.277634662779236,0.338396108547834,0.190695575943995,0.145892017731693,0.322210467980596,0.122611789348382,1
